lake,timestamp,download_timestamp,ph,temperature,dissolved_ammonia,cod,bod,dissolved_oxygen,turbidity,conductivity,chloride,nitrate,toc,level,level_2
Agara Lake,2023-08-16 00:30:00,2023-08-16 11:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 07:30:00,2023-08-16 12:30:00,4.68,24.3,0.02,470.2,108.14,9.39,36.42,1348.0,216.36,25.03,376.0,1.29,
Bellandhur Lake,2023-08-16 07:30:00,2023-08-16 12:30:00,7.09,26.4,10.55,538.71,152.28,0.58,65.84,1224.0,116.85,22.47,873.22,1.2,
Agara Lake,2023-08-16 00:30:00,2023-08-16 12:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 08:30:00,2023-08-16 13:30:00,4.23,25.1,0.03,446.79,103.88,9.36,36.26,1348.0,205.45,24.72,366.42,1.29,
Bellandhur Lake,2023-08-16 08:30:00,2023-08-16 13:30:00,7.16,26.6,10.12,608.62,160.7,0.58,45.22,1216.0,99.06,22.36,1175.7,1.2,
Agara Lake,2023-08-16 00:30:00,2023-08-16 13:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 09:30:00,2023-08-16 14:30:00,4.22,26.2,0.05,446.15,105.38,9.64,37.06,1347.0,205.23,24.87,363.76,1.29,
Bellandhur Lake,2023-08-16 09:30:00,2023-08-16 14:30:00,7.36,26.7,5.3,540.35,154.67,0.58,63.38,1211.0,115.03,22.46,899.13,1.2,
Agara Lake,2023-08-16 00:30:00,2023-08-16 14:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 10:30:00,2023-08-16 15:30:00,4.05,27.0,0.08,427.34,100.01,9.15,37.08,1347.0,196.39,23.46,358.02,1.29,
Bellandhur Lake,2023-08-16 10:30:00,2023-08-16 15:30:00,7.44,26.6,4.09,525.14,152.97,0.58,67.3,1223.0,119.01,22.47,837.57,1.2,
Agara Lake,2023-08-16 10:30:00,2023-08-16 15:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 11:30:00,2023-08-16 16:30:00,4.06,27.0,0.09,450.95,104.99,8.59,36.31,1347.0,207.02,23.28,369.3,1.29,
Bellandhur Lake,2023-08-16 11:30:00,2023-08-16 16:30:00,7.42,26.6,4.3,550.53,164.99,0.58,68.08,1207.0,119.75,22.49,889.1,1.2,
Agara Lake,2023-08-16 11:30:00,2023-08-16 16:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
Varthur Lake,2023-08-16 12:30:00,2023-08-16 17:30:00,7.27,27.6,0.62,578.13,135.01,0.78,30.44,1348.0,262.39,18.53,434.65,1.29,
Bellandhur Lake,2023-08-16 12:30:00,2023-08-16 17:30:00,7.32,26.7,5.34,613.25,170.26,0.58,61.22,1177.0,112.71,22.43,1115.25,1.2,
Agara Lake,2023-08-16 12:30:00,2023-08-16 17:30:00,6.8,26.5,1.59,148.4,37.1,5.3,53.0,715.0,15.9,16.0,185.5,2.6,
