stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,updated_on,outlet_flow,inlet_flow
HORAMAVU 20 MLD,2023-12-01 03:45:00,7.66,28.00,1.05,3.50,36.84,7.75,9.17,4.60,4.20,-,2023120104,,
K AND C VALLEY 60 MLD,2023-12-01 03:45:00,6.91,26.50,0.61,3.50,45.88,10.63,20.23,8.06,5.06,-,2023120104,,
NAGASANDRA 20 MLD,2023-12-01 03:45:00,7.54,24.50,1.11,4.44,194.77,5.69,44.56,0.00,3.67,-,2023120104,,
RAJACANAL 40 MLD,2023-12-01 03:45:00,7.66,26.10,0.89,4.10,28.85,3.56,4.66,8.04,4.27,-,2023120104,,
YELLAMALAPACHETTY 15 MLD,2023-11-28 10:45:00,7.3,27.02,0.54,2.16,25.09,4.37,1.87,4.59,1.62,-,2023120104,,
BELLANDUR 90 MLD,2023-12-01 03:45:00,7.86,26.00,0.56,1.60,27.94,3.2,13.92,5.59,3.14,-,2023120104,,
DODDABELE 20 MLD,2023-12-01 03:45:00,7.12,26.10,0.80,4.80,39.45,6.82,6.48,11.09,4.27,-,2023120104,,
NAGASANDRA OLD 20 MLD,2023-12-01 03:45:00,7.03,23.50,2.00,3.00,443.65,19.57,386.66,0.00,0.67,-,2023120104,,
4MLD Cubbon Park TTP,2023-12-01 04:00:00,7.17,27.90,0.71,4.70,17.31,1.2,0.94,5.02,3.55,-,2023120104,,
KADABEESANAHALLI 50 MLD,2023-11-26 14:15:00,6.83,25.60,0.79,3.53,92.81,7.85,34.05,6.34,3.14,-,2023120104,,
STP Sarakki 5 MLD,2023-12-01 03:45:00,7.96,26.80,0.63,1.26,18.70,4.8,5.69,3.74,-,-,2023120104,,
Mailasandra STP 75 MLD,2023-12-01 04:00:00,7.52,21.70,7.27,13.08,45.41,7.99,18.66,12.96,-0.45,-,2023120104,,
60 MLD V.Valley TTP,2023-12-01 03:45:00,6.92,23.60,0.80,1.92,20.02,1.77,3.19,4.53,1.52,-,2023120104,,
KR Puram STP 20 MLD,2023-12-01 04:00:00,6.97,24.70,1.98,3.96,112.77,0.0,291.8,15.79,3.69,-,2023120104,,
1.5 MLD Lalbagh TTP,2023-11-27 13:15:00,7.21,27.40,0.62,3.03,18.08,1.41,1.06,-0.02,-0.04,-,2023120104,,
35MLD Agaram STP,2023-12-01 04:00:00,7.17,25.30,0.77,3.16,29.40,5.02,4.23,6.45,-,-,2023120104,,
Chikka_Bagur_5_MLD_STP,2023-12-01 04:00:00,7.84,26.80,5.66,11.30,43.50,5.9,9.0,11.80,-,-,2023120104,,
Yelahanka 10MLD TTP,2023-12-01 04:00:00,7.34,24.30,1.45,4.06,34.60,10.1,11.4,6.92,3.05,0.20,2023120104,,
40MLD OLD Rajacanal STP,2023-12-01 04:00:00,7.66,24.20,3.22,10.63,26.10,6.6,7.4,6.53,11.27,1.61,2023120104,,
Hennur 1MLD TTP,2023-11-30 22:45:00,7.56,26.60,1.29,1.93,22.30,3.3,4.9,5.11,4.08,0.26,2023120104,,
4_MLD_Madiwala_STP,2023-12-01 04:00:00,7.8,24.00,1.17,3.39,34.33,2.56,3.54,8.58,-,-,2023120104,,
150MLD STP_K&C valley,2023-12-01 03:55:00,6.51,-,2.72,2.91,-,9.07,8.75,-,-,0.88,2023120104,,
20Mld KR Puram STP New,2023-11-30 15:00:00,7.5,-,3.06,3.38,41.65,6.38,6.83,9.68,-,-,2023120104,,
10 MLD STP HULIMAVU,2023-11-18 23:45:00,7.31,-,-,-,21.22,1.27,3.4,1.20,-,-,2023120104,,
2MLD Ulsoor STP,2023-12-01 04:30:00,7.26,25.80,0.38,1.90,17.71,2.48,2.83,3.54,2.53,-,2023120105,,
CHIKKABANAVARA 5 MLD,2023-12-01 04:45:00,7.52,23.00,0.36,3.40,28.16,4.42,4.5,12.50,2.88,-,2023120105,,
KADUGODI 6 MLD STP,2023-12-01 03:15:00,7.75,26.80,0.50,3.38,37.37,7.06,10.33,6.53,2.95,-,2023120105,,
HORAMAVU 20 MLD,2023-12-01 04:45:00,7.66,28.00,1.05,3.50,36.86,7.74,9.19,4.51,4.20,-,2023120105,,
K AND C VALLEY 60 MLD,2023-12-01 04:45:00,6.91,26.50,0.61,3.50,46.41,10.63,20.71,8.49,5.06,-,2023120105,,
NAGASANDRA 20 MLD,2023-12-01 04:45:00,7.56,24.30,1.09,4.36,193.23,4.85,44.46,0.00,3.67,-,2023120105,,
RAJACANAL 40 MLD,2023-12-01 04:45:00,7.66,26.10,0.89,4.10,28.86,3.56,4.67,8.03,4.27,-,2023120105,,
YELLAMALAPACHETTY 15 MLD,2023-11-28 10:45:00,7.3,27.02,0.54,2.16,25.09,4.37,1.87,4.59,1.62,-,2023120105,,
BELLANDUR 90 MLD,2023-12-01 04:45:00,7.86,25.90,0.56,1.60,27.92,3.21,14.0,5.58,3.14,-,2023120105,,
