stp_name,timestamp,ph,temperature,ammonical_nitrogen,total_nitrogen,cod,bod,tss,color,dissolved_oxygen,total_phosphorus,outlet_flow,inlet_flow,updated_on
20Mld KR Puram STP New,2024-03-19 09:00:00,0.0,-,0.0,0.00,0.00,0.0,0.0,0.00,-,-,3.49,4.38,2024032015
10 MLD STP HULIMAVU,2024-03-20 14:45:00,7.66,-,4.33,3.36,14.24,0.85,2.54,1.20,-,-,5.96,6.00,2024032015
2MLD Ulsoor STP,2024-03-20 14:30:00,6.92,29.10,0.56,2.80,23.03,3.22,3.68,4.61,3.29,-,-,-,2024032016
CHIKKABANAVARA 5 MLD,2024-03-20 15:30:00,7.39,26.70,0.37,3.40,26.40,4.2,4.37,10.51,2.96,-,-,-,2024032016
KADUGODI 6 MLD STP,2024-03-20 15:45:00,7.74,28.10,0.3,6.99,39.70,7.47,14.59,6.84,1.77,-,-,-,2024032016
HORAMAVU 20 MLD,2024-03-20 15:45:00,7.71,31.00,1.04,3.20,37.52,7.03,11.43,2.57,4.16,-,-,-,2024032016
K AND C VALLEY 60 MLD,2024-03-20 15:52:30,6.72,29.80,0.72,2.70,46.93,11.44,6.55,14.61,5.98,-,-,-,2024032016
NAGASANDRA 20 MLD,2024-03-01 11:00:00,7.61,25.30,1.02,4.08,46.64,8.89,11.16,7.62,3.77,-,-,-,2024032016
RAJACANAL 40 MLD,2024-03-20 15:45:00,7.62,29.20,1.22,2.80,28.51,3.62,4.02,8.13,5.86,-,-,-,2024032016
YELLAMALAPACHETTY 15 MLD,2024-03-14 17:45:00,7.53,28.97,0.55,2.20,36.50,6.07,7.84,4.78,3.83,-,-,-,2024032016
BELLANDUR 90 MLD,2024-03-20 15:45:00,7.74,29.60,0.97,1.50,27.77,6.27,10.78,5.55,5.43,-,-,-,2024032016
DODDABELE 20 MLD,2024-03-20 15:45:00,6.93,28.70,0.34,1.30,48.52,6.6,24.54,9.79,4.16,-,-,-,2024032016
NAGASANDRA OLD 20 MLD,2024-03-01 11:00:00,7.35,24.10,1.36,2.04,54.28,5.26,23.47,0.00,-,-,-,-,2024032016
4MLD Cubbon Park TTP,2024-03-20 15:45:00,6.82,30.60,0.65,4.74,17.33,1.24,0.92,5.03,3.25,-,-,-,2024032016
KADABEESANAHALLI 50 MLD,2024-03-17 12:15:00,7.22,26.00,0.83,3.73,44.74,8.28,10.17,8.29,3.31,-,-,-,2024032016
STP Sarakki 5 MLD,2024-03-20 15:45:00,7.8,29.20,0.94,1.88,20.72,7.85,7.71,4.14,-,-,-,-,2024032016
Mailasandra STP 75 MLD,2024-03-20 15:45:00,7.62,26.90,18.78,30.05,49.07,12.99,16.66,3.49,1.31,-,-,-,2024032016
60 MLD V.Valley TTP,2023-12-05 15:45:00,6.87,23.10,0.86,2.06,20.00,1.75,3.18,4.55,1.53,-,-,-,2024032016
KR Puram STP 20 MLD,2024-03-20 15:45:00,6.94,28.00,3.01,6.02,62.23,12.96,42.54,8.71,-0.68,-,-,-,2024032016
1.5 MLD Lalbagh TTP,2024-03-20 15:45:00,7.05,33.70,0.34,2.10,18.61,1.5,1.0,13.57,8.03,-,-,-,2024032016
35MLD Agaram STP,2024-03-20 15:45:00,7.27,28.30,0.63,2.58,29.81,5.09,3.46,6.54,-,-,-,-,2024032016
Chikka_Bagur_5_MLD_STP,2024-03-20 13:30:00,7.4,27.20,7.05,14.10,43.70,7.4,7.2,14.80,-,-,-,-,2024032016
Yelahanka 10MLD TTP,2024-03-20 13:45:00,7.32,24.80,0.0,-,36.60,5.8,5.6,7.34,14.96,0.23,-,-,2024032016
40MLD OLD Rajacanal STP,2024-03-20 13:45:00,7.59,25.80,1.2,2.16,26.30,8.3,10.8,6.57,3.80,0.60,-,-,2024032016
Hennur 1MLD TTP,2024-02-29 09:15:00,7.56,26.40,0.44,0.66,18.90,1.6,4.0,4.95,4.72,0.09,-,-,2024032016
4_MLD_Madiwala_STP,2024-03-20 16:00:00,7.55,27.30,1.63,4.70,35.03,4.73,4.05,8.76,-,-,-,-,2024032016
150MLD STP_K&C valley,2024-03-20 15:45:00,6.91,-,1.04,5.73,-,4.47,9.69,-,-,0.98,-,-,2024032016
20Mld KR Puram STP New,2024-03-19 09:00:00,0.0,-,0.0,0.00,0.00,0.0,0.0,0.00,-,-,3.49,4.38,2024032016
10 MLD STP HULIMAVU,2024-03-20 15:45:00,8.02,-,3.77,3.29,14.28,0.86,2.6,1.20,-,-,5.96,6.06,2024032016
2MLD Ulsoor STP,2024-03-20 14:30:00,6.92,29.10,0.56,2.80,23.03,3.22,3.68,4.61,3.29,-,-,-,2024032017
CHIKKABANAVARA 5 MLD,2024-03-20 16:30:00,7.41,26.70,0.36,3.50,26.42,4.21,4.37,10.68,2.88,-,-,-,2024032017
KADUGODI 6 MLD STP,2024-03-20 16:45:00,7.69,28.10,0.3,7.04,39.71,7.46,14.92,6.81,1.77,-,-,-,2024032017
HORAMAVU 20 MLD,2024-03-20 16:45:00,7.75,30.50,1.03,3.30,37.61,7.03,11.49,2.56,4.12,-,-,-,2024032017
K AND C VALLEY 60 MLD,2024-03-20 16:52:30,6.72,29.60,0.71,2.70,47.04,11.43,6.76,14.74,5.89,-,-,-,2024032017
NAGASANDRA 20 MLD,2024-03-01 11:00:00,7.61,25.30,1.02,4.08,46.64,8.89,11.16,7.62,3.77,-,-,-,2024032017
RAJACANAL 40 MLD,2024-03-20 16:45:00,7.6,28.90,1.19,2.80,28.48,3.61,4.02,8.09,5.71,-,-,-,2024032017
YELLAMALAPACHETTY 15 MLD,2024-03-14 17:45:00,7.53,28.97,0.55,2.20,36.50,6.07,7.84,4.78,3.83,-,-,-,2024032017
BELLANDUR 90 MLD,2024-03-20 16:45:00,7.75,29.30,0.95,1.50,27.73,6.23,10.39,5.55,5.32,-,-,-,2024032017
DODDABELE 20 MLD,2024-03-20 16:45:00,6.95,28.70,0.33,1.30,48.46,6.6,24.41,9.83,4.17,-,-,-,2024032017
NAGASANDRA OLD 20 MLD,2024-03-01 11:00:00,7.35,24.10,1.36,2.04,54.28,5.26,23.47,0.00,-,-,-,-,2024032017
